 
TP-0001	12	   
TP-0002	06	   
TP-0003	04	   
TP-0004	06	   
TP-0005	12	   
TP-0006	06	   
TP-0007	04	   
TP-0008	06	   
TP-0009	06	   
TP-0010	06	   
TP-0011	12	   
TP-0012		   
TP-0013	12	   
TP-0014		   
TP-0015	06	   
TP-0016	06	   
TP-0017	12	   
TP-0018	06	   
TP-0019		   
TP-0020	12	   
TP-0021		   
TP-0022		   
TP-0023	06	   
TP-0024	06	   
TP-0025	12	   
TP-0026	06	   
TP-0027	12	   
TP-0028		   
TP-0029	06	   
TP-0030	06	   
TP-0031	12	   
TP-0032	06	   
TP-0033	06	   
TP-0034		   
TP-0035		   
TP-0036		   
TP-0037		   
TP-0038		   
TP-0039		   
TP-0040		   
TP-0041		   
TP-0042		   
TP-0043		   
TP-0044		   
TP-0045		   
TP-0046		   
TP-0047		   
TP-0048		   
TP-0049		   
TP-0050		   
TP-0051		   
TP-0052		   
TP-0053		   
TP-0054		   
TP-0055		   
TP-0056		   
TP-0057		   
TP-0058		   
TP-0059		   
TP-0060		   
TP-0061		   
TP-0062		   
TP-0063		   
TP-0064		   
TP-0065		   
TP-0066		   
TP-0067		   
TP-0068		   
TP-0069		   
TP-0070		   
TP-0071		   
TP-0072		   
TP-0073		   
TP-0074		   
TP-0075		   
TP-0076		   
TP-0077		   
TP-0078		   
TP-0079		   
TP-0080		   
TP-0081		   
TP-0082		   
TP-0083		   
TP-0084		   
TP-0085		   
TP-0086		   
TP-0087		   
TP-0088		   
TP-0089		   
TP-0090		   
TP-0091		   
TP-0092		   
TP-0093		   
TP-0094		   
TP-0095		   
TP-0096		   
TP-0097		   
TP-0098		   
TP-0099		   
TP-0100		   
TP-0101		   
TP-0102		   
TP-0103		   
TP-0104		   
TP-0105		   
TP-0106		   
TP-0107		   
TP-0108		   
TP-0109		   
TP-0110		   
TP-0111		   
TP-0112		   
TP-0113		   
TP-0114		   
TP-0115		   
TP-0116		   
TP-0117		   
TP-0118		   
TP-0119		   
TP-0120		 
